model,technique,implementation,sample_id,predicted_class,predicted_crop,top_features,top_feature_count,local_fidelity,faithfulness_probability_drop,stability_jaccard,sparsity,coverage,runtime_seconds
Logistic Regression,LIME,local weighted Ridge surrogate,0,0,Maize,categorical__crop_group_seasonal; numeric__mean_field_area_ha; categorical__crop_group_permanent; numeric__seasonal_plot_count; numeric__max_field_area_ha; categorical__primary_tenure_98.0; categorical__head_education_PRIMARY EDUCATION COMPLETE; categorical__head_education_None,8,0.4594916129163312,0.0,0.6,0.9436619718309859,1.0,0.01713749999908032
Logistic Regression,SHAP,single-baseline occlusion Shapley approximation,0,0,Maize,numeric__mean_field_area_ha; numeric__max_field_area_ha; numeric__input_record_count; numeric__pesticide_type_count; numeric__head_age; categorical__head_education_PRIMARY EDUCATION COMPLETE; categorical__dominant_crop_system_PURE STAND; numeric__equipment_use_share,8,0.8744347888937799,0.051916022928582134,1.0,0.9436619718309859,1.0,0.043407099998148624
Logistic Regression,Anchors,greedy high-precision feature rule,0,0,Maize,categorical__head_education_PRIMARY EDUCATION COMPLETE; numeric__mixed_crop_share; numeric__temp_range; numeric__s4a_cultivated_land_share; numeric__rainfall_max_monthly_2023_24,5,0.4117647058823529,0.04185291631754129,0.0,0.9647887323943662,0.2125,0.007100200000422774
Logistic Regression,LIME,local weighted Ridge surrogate,1,0,Maize,numeric__mean_field_area_ha; numeric__equipment_type_count; categorical__primary_tenure_93.0; categorical__head_education_PRIMARY EDUCATION COMPLETE; categorical__head_education_SECONDARY/ADVANCED EDUCATION INCOMPLETE; numeric__head_formally_educated; categorical__crop_group_seasonal; categorical__primary_tenure_98.0,8,0.4591834000759958,0.0,0.3333333333333333,0.9436619718309859,1.0,0.007283399998414097
Logistic Regression,SHAP,single-baseline occlusion Shapley approximation,1,0,Maize,numeric__mean_field_area_ha; categorical__head_education_PRE-SCHOOL; numeric__fertilizer_kg; categorical__dominant_crop_system_PURE STAND; numeric__max_field_area_ha; categorical__head_education_PRIMARY EDUCATION COMPLETE; numeric__seasonal_plot_area_ha; numeric__mixed_crop_share,8,0.9589227097622156,0.02203165244057248,1.0,0.9436619718309859,1.0,0.03811470000073314
Logistic Regression,Anchors,greedy high-precision feature rule,1,0,Maize,numeric__soil_k_max; numeric__soil_ph_median; numeric__maize_recent_market_price_tzs_mean; numeric__maize_recent_market_price_usd_mean; categorical__s4a_dominant_slope_class_Flat (0 - 0.5%),5,0.3333333333333333,0.002152036518402789,1.0,0.9647887323943662,0.225,0.011436000000685453
Logistic Regression,LIME,local weighted Ridge surrogate,2,0,Maize,numeric__mean_field_area_ha; categorical__crop_group_seasonal; categorical__primary_tenure_98.0; categorical__crop_group_permanent; numeric__max_field_area_ha; numeric__fertilizer_kg; numeric__seasonal_plot_count; categorical__head_education_None,8,0.45409018614451413,0.04404413386143152,0.7777777777777778,0.9436619718309859,1.0,0.008772199998929864
Logistic Regression,SHAP,single-baseline occlusion Shapley approximation,2,0,Maize,numeric__mean_field_area_ha; numeric__max_field_area_ha; numeric__unique_input_count; numeric__head_formally_educated; categorical__head_education_None; numeric__formally_educated_share; numeric__input_record_count; numeric__field_count,8,0.6687930939626726,0.1023172291725239,1.0,0.9436619718309859,1.0,0.0460477999986324
Logistic Regression,Anchors,greedy high-precision feature rule,2,0,Maize,numeric__s4a_min_altitude; numeric__s4a_rainfed_share; numeric__rainfall_vuli_total; numeric__soil_al_mean; numeric__soil_al_median,5,0.23333333333333334,0.016565928115998718,0.6666666666666666,0.9647887323943662,0.375,0.01704500000050757
Logistic Regression,LIME,local weighted Ridge surrogate,3,0,Maize,categorical__crop_group_permanent; categorical__crop_group_seasonal; numeric__mean_field_area_ha; numeric__head_formally_educated; numeric__max_field_area_ha; numeric__seasonal_plot_count; categorical__head_education_None; numeric__formally_educated_share,8,0.4802008076094868,0.0,0.6,0.9436619718309859,1.0,0.025518600003124448
Logistic Regression,SHAP,single-baseline occlusion Shapley approximation,3,0,Maize,numeric__mean_field_area_ha; numeric__max_field_area_ha; numeric__unique_input_count; numeric__head_formally_educated; categorical__head_education_None; numeric__formally_educated_share; numeric__input_record_count; numeric__field_count,8,0.6687930939626726,0.1023172291725239,1.0,0.9436619718309859,1.0,0.04064769999968121
Logistic Regression,Anchors,greedy high-precision feature rule,3,0,Maize,numeric__s4a_min_altitude; numeric__s4a_rainfed_share; numeric__rainfall_vuli_total; numeric__soil_al_mean; numeric__soil_al_median,5,0.23333333333333334,0.016565928115998718,1.0,0.9647887323943662,0.375,0.00823119999768096
Logistic Regression,LIME,local weighted Ridge surrogate,4,0,Maize,numeric__mean_field_area_ha; categorical__crop_group_permanent; categorical__crop_group_seasonal; categorical__primary_tenure_98.0; numeric__max_field_area_ha; numeric__head_formally_educated; categorical__primary_tenure_94.0; numeric__seasonal_plot_count,8,0.5211172487690467,0.0,0.7777777777777778,0.9436619718309859,1.0,0.007364400000369642
